ID,Control Family,Control Enhancement Name,Control Step,Control Step Content
1,AC,Access Control Policy and Procedures,AC-01.00.01.01,"The organization develops and documents an access control policy that addresses:
1) purpose
2) scope
3) roles 
4) responsibilities
5) management commitment
6) coordination among organizational entities, 
7) compliance"
2,AC,Access Control Policy and Procedures,AC-01.00.01.02,The organization defines personnel or roles to whom the access control policy are to be disseminated as Program Offices/System Owners.
3,AC,Access Control Policy and Procedures,AC-01.00.01.03,The organization disseminates the access control policy to Program Offices/System Owners at least every other year. 
4,AC,Access Control Policy and Procedures,AC-01.00.02.01,The organization develops and documents procedures to facilitate the implementation of the access control policy and associated access control controls.
5,AC,Access Control Policy and Procedures,AC-01.00.02.02,The organization defines personnel or roles to whom the procedures are to be disseminated as Program Offices/System Owners.
6,AC,Access Control Policy and Procedures,AC-01.00.02.03,The organization disseminates the procedures to Program Offices/System Owners at least every other year.
7,AC,Access Control Policy and Procedures,AC-01.00.03.01,The organization defines the frequency of access control policy reviews as at least annually and updates as necessary.
8,AC,Access Control Policy and Procedures,AC-01.00.03.02,"The organization reviews/updates access control policy at least annually and as needed, respectively."
9,AC,Access Control Policy and Procedures,AC-01.00.04.01,The organization defines the frequency of access control procedure reviews as at least annually and updates as necessary.
10,AC,Access Control Policy and Procedures,AC-01.00.04.02,"The organization reviews/updates access control procedures at least annually and as needed, respectively."
11,AC,Account Management,AC-02.00.01.01,"The organization defines information system account types to be identified and selected to support organizational missions/business functions as individual, group, system, application, guest/anonymous, and temporary accounts."
12,AC,Account Management,AC-02.00.01.02,"The organization identifies and selects individual, group, system, application, guest/anonymous, and temporary accounts types to support organizational missions/business functions."
13,AC,Account Management,AC-02.00.02.01,The organization assigns account managers for information system accounts.
14,AC,Account Management,AC-02.00.03.01,The organization establishes conditions for group and role membership.
15,AC,Account Management,AC-02.00.04.01,The organization specifies for each account (as required) authorized users of the information system.
16,AC,Account Management,AC-02.00.04.02,The organization specifies for each account (as required) group and role membership.
17,AC,Account Management,AC-02.00.04.03,"The organization specifies for each account (as required) access authorizations (i.e., privileges)."
18,AC,Account Management,AC-02.00.04.04,The organization specifies for each account (as required) other attributes.
19,AC,Account Management,AC-02.00.05.01,The organization defines personnel or roles required to approve requests to create information system accounts as designated Census Bureau personnel.
20,AC,Account Management,AC-02.00.05.02,The organization requires appropriate approvals for requests to establish accounts by designated Census Bureau personnel.
21,AC,Account Management,AC-02.00.06.01,"The organization defines procedures or conditions to: 
1) create information system accounts
2) enable information system accounts 
3) modify information system accounts 
4) disable information system accounts 
5) remove information system accounts"
22,AC,Account Management,AC-02.00.06.02,"The organization in accordance with Census Bureau Access Control Procedures:
1) create information system accounts 
2) enable information system accounts 
3) modify information system accounts 
4) disable information system accounts 
5) remove information system accounts"
23,AC,Account Management,AC-02.00.07.01,The organization monitors the use of information system accounts.
24,AC,Account Management,AC-02.00.08.01,The organization notifies account managers when accounts are no longer required.
25,AC,Account Management,AC-02.00.08.02,The organization notifies account managers when users are terminated or transferred.
26,AC,Account Management,AC-02.00.08.03,The organization notifies account managers when individual information system usage or need to know changes.
27,AC,Account Management,AC-02.00.09.01,The organization authorizes access to the information system based on a valid access authorization.
28,AC,Account Management,AC-02.00.09.02,The organization authorizes access to the information system based on intended system usage.
29,AC,Account Management,AC-02.00.09.03,The organization authorizes access to the information system based on other attributes as required by the organization or associated missions/business functions.
30,AC,Account Management,AC-02.00.10.01,The organization defines the frequency to review accounts for compliance with account management requirements as at least semi-annually.
31,AC,Account Management,AC-02.00.10.02,The organization reviews accounts for compliance with account management requirements at least semi-annually.
32,AC,Account Management,AC-02.00.11.01,The organization establishes a process for reissuing shared/group account credentials (if deployed) when individuals are removed from the group.
33,AC,Automated Account System Management,AC-02.01.01.01,The organization employs automated mechanisms to support the management of information system accounts.
34,AC,Removal of Temporary/Emergency Accounts,AC-02.02.01.01,"The organization defines a time period, 120 days for temporary accounts or 14 days for emergency accounts, which the information system automatically removes or disables temporary and emergency accounts."
35,AC,Removal of Temporary/Emergency Accounts,AC-02.02.02.01,The information system automatically removes or disables temporary and emergency accounts after 120 days for temporary accounts or 14 days for emergency accounts. 
36,AC,Disable Inactive Accounts,AC-02.03.01.01,"The organization defines the time period, after 30 days, which the information system automatically disables inactive accounts."
37,AC,Disable Inactive Accounts,AC-02.03.02.01,The information system automatically disables inactive accounts after 30 days. 
38,AC,Automated Audit Actions,AC-02.04.01.01,The information system automatically audits the following account actions: creation.
39,AC,Automated Audit Actions,AC-02.04.01.02,The information system automatically audits the following account actions: modification.
40,AC,Automated Audit Actions,AC-02.04.01.03,The information system automatically audits the following account actions: enabling.
41,AC,Automated Audit Actions,AC-02.04.01.04,The information system automatically audits the following account actions: disabling.
42,AC,Automated Audit Actions,AC-02.04.01.05,The information system automatically audits the following account actions: removal.
43,AC,Automated Audit Actions,AC-02.04.02.01,The organization defines personnel or roles to be notified of the following account actions as designated Census Bureau personnel: creation.
44,AC,Automated Audit Actions,AC-02.04.02.02,The organization defines personnel or roles to be notified of the following account actions as designated Census Bureau personnel: modification.
45,AC,Automated Audit Actions,AC-02.04.02.03,The organization defines personnel or roles to be notified of the following account actions as designated Census Bureau personnel: enabling.
46,AC,Automated Audit Actions,AC-02.04.02.04,"The organization defines personnel or roles to be notified of the following account actions as designated Census Bureau personnel:
 disabling."
47,AC,Automated Audit Actions,AC-02.04.02.05,"The organization defines personnel or roles to be notified of the following account actions as designated Census Bureau personnel:
removal."
48,AC,Automated Audit Actions,AC-02.04.03.01,The information system notifies designated Census Bureau personnel of the following account actions: creation.
49,AC,Automated Audit Actions,AC-02.04.03.02,The information system notifies designated Census Bureau personnel of the following account actions: modification.
50,AC,Automated Audit Actions,AC-02.04.03.03,The information system notifies designated Census Bureau personnel of the following account actions: enabling.
51,AC,Automated Audit Actions,AC-02.04.03.04,The information system notifies designated Census Bureau personnel of the following account actions: disabling.
52,AC,Automated Audit Actions,AC-02.04.03.05,The information system notifies designated Census Bureau personnel of the following account actions: removal.
53,AC,Access Enforcement ,AC-03.00.01.01,The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
54,AC,Information Flow Enforcement,AC-04.00.01.01,"The organization defines applicable policy for controlling the flow of information within the system and between interconnected systems based on existing Interconnection Security Agreements (ISAs), Memoranda of Understanding (MOUs) or interface specification documents."
55,AC,Information Flow Enforcement,AC-04.00.02.01,"The information system enforces approved authorizations for controlling the flow of information within the system and between interconnected systems in accordance with existing Interconnection Security Agreements (ISAs), Memoranda of Understanding (MOUs) or interface specification documents."
56,AC,Separation of Duties,AC-05.00.01.01,"The organization defines duties of individuals to be separated as necessary, to prevent malevolent activity without collusion with consideration of approved dual roles in accordance with AC-05.02.01.01."
57,AC,Separation of Duties,AC-05.00.01.02,"The organization separates duties of individuals as necessary, to prevent malevolent activity without collusion with consideration of approved dual roles in accordance with AC-05.02.01.01."
58,AC,Separation of Duties,AC-05.00.02.01,The organization documents separation of duties.
