ID,Control_Family,Control_Enhancement_Name,Control_Step,Control_Step_Content,Acceptable_Evidence
1,AC,Access Control Policy and Procedures,AC-01.00.01.01,"The organization develops and documents an access control policy that addresses:
1) purpose
2) scope
3) roles 
4) responsibilities
5) management commitment
6) coordination among organizational entities, 
7) compliance","• Confirm that an Access control Policy exists. 
• Need a copy of the latest .
Review the Access Control Policy and verify that control requirements have been met."
2,AC,Access Control Policy and Procedures,AC-01.00.01.02,The organization defines personnel or roles to whom the access control policy are to be disseminated as Program Offices/System Owners.,Review the Access Control Policy and Procedures to verify that it defines personnel or roles to whom the access control policy are to be disseminated as Program Offices/System Owners.
3,AC,Access Control Policy and Procedures,AC-01.00.01.03,The organization disseminates the access control policy to Program Offices/System Owners at least annually. ,Confirm that the Access Control Policy is available to all personnel that need access.
4,AC,Access Control Policy and Procedures,AC-01.00.02.01,The organization develops and documents procedures to facilitate the implementation of the access control policy and associated access control controls.,Review the Access Control Policy and verify that access control procedures have been developed and are not in a DRAFT version.  Confirm that an Access control Policy exists. Need a copy of the latest .
5,AC,Access Control Policy and Procedures,AC-01.00.02.02,The organization defines personnel or roles to whom the procedures are to be disseminated as Program Offices/System Owners.,Review the Access Control Policy and verify that it defines personnel or roles to whom the procedures are to be disseminated as Program Offices/System Owners.
6,AC,Access Control Policy and Procedures,AC-01.00.02.03,The organization disseminates the procedures to Program Offices/System Owners at least annually.,#N/A
7,AC,Access Control Policy and Procedures,AC-01.00.03.01,The organization defines the frequency of access control policy reviews as at least annually and updates as necessary.,#N/A
8,AC,Access Control Policy and Procedures,AC-01.00.03.02,"The organization reviews/updates access control policy at least annually and as needed, respectively.",Review the latest  and verify that it has been reviewed and updated at lease annually.
9,AC,Access Control Policy and Procedures,AC-01.00.04.01,The organization defines the frequency of access control procedure reviews as at least annually and updates as necessary.,Review the latest  and verify that the annual year review cycle and updates as necessary has been identified and documented.
10,AC,Access Control Policy and Procedures,AC-01.00.04.02,"The organization reviews/updates access control procedures at least annually and as needed, respectively.",Review the latest  and verify that it has been reviewed and updated at least annually.
